Enquêteur,Code,Numero questionnaire,Date,Heure,"Q26.01- Activités ou rencontres sociales (mariages, funérailles, fêtes, clubs)",Q26.02- Activités religieuses ou de lieux de culte,Q26.03- Activités familiales,Q26.04- A déjà eu connaissance de remarques discriminatoires ou de commérages à son sujet de la part de membres de sa famille,Q26.05- A déjà eu connaissance de remarques discriminatoires ou de commérages à son sujet de la part d’autres personnes (au-delà de sa famille),"Q26.06- A déjà été harcelé(e) verbalement (p. ex., cris, réprimandes ou autre forme de violence verbale)",Q26.07- A déjà été victime de chantage,"Q26.08- A déjà été harcelé(e) ou blessé(e) physiquement (p. ex., bousculade, coups ou autre forme de violence corporelle)",Q26.09- A déjà été victime de refus d’un emploi ou a déjà perdu une source de revenus ou un travail,"Q26.10- A été victime de changement de description de son poste ou la nature de son travail a-t-elle changé, ou vous a-t-on déjà refusé une promotion","Q26.11- Discrimination subi du /de la conjoint(e), du/des partenaire(s) ou de ses enfants",Q27.1- Refus de services de santé en raison de votre séropositivité,Q27.2- On vous a conseillé de ne pas avoir de relations sexuelles à cause de votre séropositivité,Q27.3- On a mal parlé de vous ou vous avez été victime de commérages à cause de votre séropositivité,Q27.4- Violence verbale en raison de votre séropositivité,Q27.5- Violence physique en raison de votre séropositivité,Q27.6- Éviter tout contact physique avec vous ou prendre des précautions supplémentaires,Q27.7- Parler de votre séropositivité à d'autres personnes sans votre consentement,"Q28- En dehors de votre centre de prise en charge VIH, révélez-vous habituellement que vous vivez avec le VIH ?",Q29.1- Refus de services de santé en raison de votre séropositivité,Q29.2- Refus de soins dentaires en raison de votre statut sérologique,Q29.3- Vous conseiller de ne pas avoir de relations sexuelles en raison de votre statut sérologique,Q29.4- Commentaires négatifs ou commérages en raison de votre statut sérologique,Q29.5- Violence verbale,Q29.6- Violence physique,Q29.7- Absence de contacts physiques avec vous ou précautions supplémentaires,Q29.8- Divulgation de votre statut sérologique à d’autres personnes sans votre consentement,Q30- Avez-vous été déjà vécu une expérience de stigmatisation ou de discrimination liée à votre statut ? (À remplir par l’enquêteur),Q31.1- Ma confiance en moi,Q31.2- Mon respect pour moi-même,Q31.3- Ma capacité de respecter les autres,Q31.4- Ma capacité de composer avec le stress,Q31.5- Ma capacité à trouver l’amour,Q31.6- La réalisation de mes objectifs personnels et/ou professionnels,Q31.7- Ma capacité de contribuer à ma communauté,"Q31.8- Ma capacité de pratiquer une religion/ ma foi, à ma façon",Q32.1- J’ai choisi de ne pas participer à des rencontres sociales,Q32.2- J’ai évité d'aller dans un centre de santé ou l'hôpital au moment où j'en avais besoin,Q32.3- J’ai choisi de ne pas postuler un ou des emploi(s),Q32.4- J’ai choisi de ne pas recourir à du soutien social,Q32.5- Je me suis isolé(e) de ma famille et/ou de mes amis,Q32.6- J’ai décidé de ne pas avoir de relations sexuelles,Q33.1- Il est difficile de parler aux gens de ma séropositivité,Q33.2- Avoir le VIH me donne l’impression d’être sale,Q33.3- Je me sens coupable d’avoir le VIH,Q33.4- J’ai honte d’avoir le VIH,Q33.5- Je me sens parfois inutile parce que j’ai le VIH,Q33.6- Je cache ma séropositivité aux gens
8885,22072025114408,1,,,1,1,1,4,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,4,2,4,2,2,4,0,0,0,1,0,0,0,0,0,0,0,1
3243,21072025183200,1,,,4,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,1,0,0,1
9843,29072025143050,1,,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,0,0,2,0,0,0,1,0,0,0,0,1
4256,22072025112644,1,,,1,1,1,1,4,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,4,4,4,0,0,0,0,0,1,1,0,1,1,0,1
3243,23072025100647,2,,,1,1,1,1,4,1,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,4,4,4,0,0,0,0,0,1,1,0,1,0,0,1
4799,23072025112733,1,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,1
3796,21072025190828,1,,,4,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,1
3796,23072025123056,3,,,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,1
4799,23072025124941,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,1
2372,23072025142332,1,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,1
0583,23072025114647,1,,,2,2,2,1,1,1,1,1,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,3,4,4,4,2,0,2,2,0,1,0,0,0,0,0,0
7219,24072025133819,9,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1,0,0,0,0,1,1,0,1,1,0,1
7219,23072025122329,4,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4,4,2,4,4,0,0,0,0,0,0,1,0,0,0,0,1
7219,24072025134235,6,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,1
7219,24072025142015,7,,,1,1,1,4,4,4,4,4,1,1,4,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,4,2,4,4,4,4,4,4,1,0,0,0,0,1,1,1,0,1,0,1
7631,24072025185241,1,,,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,1,0,1,0,0,0,0,0,0,0,1
0583,25072025103132,2,,,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2,2,2,2,0,1,0,0,0,0,0,0
